Category,Symptom
Cardiovascular Findings,Electrocardiogram QRS complex normal
Cardiovascular Findings,Electrocardiogram ST segment normal
Neurological Symptoms,Tension headache
Uncategorized,Premature delivery
Uncategorized,Premature labour
Uncategorized,Premature rupture of membranes
Uncategorized,Conjunctivitis
Laboratory Findings,Intraocular pressure test
Uncategorized,Ophthalmological examination
Uncategorized,Uveitis
Cardiovascular Findings,Blood pressure immeasurable
Procedural and Device-Related Issues,Diagnostic procedure
Uncategorized,Gingival bleeding
Uncategorized,Glossodynia
Musculoskeletal Symptoms,Mouth swelling
Uncategorized,Bronchitis
Respiratory Symptoms,Pneumonia
Dermatologic Symptoms,Skin swelling
Cardiovascular Findings,Blood pressure systolic increased
Laboratory Findings,Blood urine present
Uncategorized,Grip strength decreased
Dermatologic Symptoms,Pharyngeal erythema
Uncategorized,Rectal haemorrhage
Uncategorized,Histamine level increased
ENT Symptoms,Middle ear effusion
Uncategorized,Tonsillar inflammation
Dermatologic Symptoms,Skin laceration
Uncategorized,Wound closure
Uncategorized,Base excess decreased
Laboratory Findings,Blood pH increased
Uncategorized,Iodine uptake normal
Uncategorized,PCO2 decreased
Uncategorized,PO2 decreased
Laboratory Findings,White blood cell count decreased
Cardiovascular Findings,Blood pressure measurement
Uncategorized,Acute generalised exanthematous pustulosis
Dermatologic Symptoms,Injection site coldness
Laboratory Findings,Blood bilirubin increased
Laboratory Findings,Blood osmolarity increased
Uncategorized,Immune thrombocytopenia
Uncategorized,Monocyte percentage increased
Laboratory Findings,Platelet transfusion
Cardiovascular Findings,Cardiovascular evaluation
Cardiovascular Findings,Electrocardiogram change
Uncategorized,Prostatomegaly
Musculoskeletal Symptoms,Testicular swelling
Laboratory Findings,Pregnancy test urine
Musculoskeletal Symptoms,Muscle twitching
Musculoskeletal Symptoms,Limb immobilisation
Uncategorized,Bilevel positive airway pressure
Uncategorized,Status asthmaticus
Uncategorized,Refusal of treatment by patient
Uncategorized,Basophil count decreased
Uncategorized,Basophil percentage
Laboratory Findings,Blood bicarbonate normal
Laboratory Findings,Blood pH
Laboratory Findings,Blood urea nitrogen/creatinine ratio increased
Laboratory Findings,Calcium ionised decreased
Uncategorized,Eosinophil count decreased
Uncategorized,Human chorionic gonadotropin positive
Uncategorized,Lymphocyte count increased
Uncategorized,Lymphocyte percentage increased
Uncategorized,Monocyte count increased
Uncategorized,Neutrophil count
Uncategorized,Neutrophil percentage decreased
Uncategorized,PCO2 normal
Respiratory Symptoms,Venous oxygen saturation decreased
Uncategorized,Endotracheal intubation
Uncategorized,Bedridden
Dermatologic Symptoms,Dry eye
Musculoskeletal Symptoms,Muscle swelling
Uncategorized,Thyroxine free
Uncategorized,Clumsiness
Uncategorized,Eosinophil count increased
Laboratory Findings,Red blood cell sedimentation rate normal
Uncategorized,Bronchospasm
Uncategorized,Dissociation
Uncategorized,Hidradenitis
Musculoskeletal Symptoms,Tooth fracture
Uncategorized,Auditory disorder
Respiratory Symptoms,Respiratory tract oedema
Laboratory Findings,Haemodynamic test normal
Ophthalmologic Symptoms,Eye inflammation
Psychiatric Symptoms,Initial insomnia
Uncategorized,Menorrhagia
Respiratory Symptoms,Respiratory distress
Uncategorized,Bradykinesia
Dermatologic Symptoms,Skin irritation
Dermatologic Symptoms,Gingival pruritus
Uncategorized,Chromaturia
Musculoskeletal Symptoms,Testicular pain
Neurological Symptoms,Facial spasm
Uncategorized,Trichoglossia
General Symptoms,Gastrointestinal sounds abnormal
General Symptoms,Oesophageal discomfort
Cardiovascular Findings,Blood pressure orthostatic increased
Laboratory Findings,Blood thyroid stimulating hormone normal
Cardiovascular Findings,Cardiac telemetry
Cardiovascular Findings,Blood pressure systolic abnormal
Dermatologic Symptoms,Nasal pruritus
Uncategorized,Decreased activity
Uncategorized,Tongue eruption
Uncategorized,Anal incontinence
Uncategorized,Eructation
Laboratory Findings,Acute kidney injury
Cardiovascular Findings,Atrial tachycardia
Laboratory Findings,Glycosylated haemoglobin decreased
Uncategorized,Activated partial thromboplastin time normal
Uncategorized,Human chorionic gonadotropin negative
General Symptoms,Illness
Uncategorized,Electroencephalogram
Neurological Symptoms,Generalised tonic-clonic seizure
Laboratory Findings,Haematology test normal
Dermatologic Symptoms,Injection site cellulitis
Uncategorized,Gastrointestinal haemorrhage
Laboratory Findings,SARS-CoV-2 antibody test positive
Cardiovascular Findings,White coat hypertension
Uncategorized,Slow speech
General Symptoms,Exposure to extreme temperature
Uncategorized,Non-tobacco user
Dermatologic Symptoms,Erythema of eyelid
Uncategorized,Eyelid oedema
Uncategorized,Drug eruption
Laboratory Findings,Antibody test
Uncategorized,Inflammation
Uncategorized,Adverse event
Neurological Symptoms,Gaze palsy
Psychiatric Symptoms,Hallucination
Uncategorized,Lip oedema
Uncategorized,Alcohol use
Cardiovascular Findings,Blood pressure systolic decreased
Laboratory Findings,Blood albumin increased
Laboratory Findings,Full blood count abnormal
Laboratory Findings,Liver function test
Laboratory Findings,Blood parathyroid hormone increased
General Symptoms,Echocardiogram abnormal
Uncategorized,Fibrin D dimer increased
Uncategorized,Tricuspid valve incompetence
Infectious Symptoms,Occupational exposure to SARS-CoV-2
Uncategorized,Bed rest
Cardiovascular Findings,Blood pressure normal
Uncategorized,Troponin increased
Uncategorized,Angiogram cerebral
Uncategorized,Arteriogram carotid
Laboratory Findings,Culture urine negative
Uncategorized,Urethritis
Procedural and Device-Related Issues,Product administered to patient of inappropriate age
Cardiovascular Findings,Electrocardiogram T wave inversion
Uncategorized,Tongue movement disturbance
Uncategorized,Hypertensive urgency
Uncategorized,Supraventricular extrasystoles
Psychiatric Symptoms,Stress
Uncategorized,Scab
Musculoskeletal Symptoms,Gingival pain
Musculoskeletal Symptoms,Gingival swelling
Musculoskeletal Symptoms,Lip pain
Uncategorized,Sedation
Dermatologic Symptoms,Injection site lymphadenopathy
Procedural and Device-Related Issues,Ultrasound scan abnormal
Uncategorized,Anticonvulsant drug level
Laboratory Findings,Mean cell haemoglobin
Uncategorized,Acne
Dermatologic Symptoms,Lip dry
Procedural and Device-Related Issues,Imaging procedure
General Symptoms,Thinking abnormal
Genitourinary Symptoms,Urinary stone analysis
Uncategorized,Metamorphopsia
Uncategorized,Mechanical ventilation
Cardiovascular Findings,Pulse absent
Laboratory Findings,Blood creatine phosphokinase normal
Uncategorized,Immunisation
Procedural and Device-Related Issues,Incomplete course of vaccination
Uncategorized,Product dose omission in error
Uncategorized,Phonophobia
Neurological Symptoms,Hypoaesthesia eye
Respiratory Symptoms,Respiratory rate decreased
Uncategorized,Nerve compression
Psychiatric Symptoms,Nightmare
Uncategorized,Scleral disorder
Uncategorized,Alpha 1 globulin normal
Uncategorized,Anion gap normal
Laboratory Findings,Blood sodium increased
Uncategorized,Globulins increased
General Symptoms,Mean cell volume abnormal
Uncategorized,Radiculopathy
Uncategorized,Laryngitis
Infectious Symptoms,Viral titre
Uncategorized,Delusion
Uncategorized,Tongue biting
Dermatologic Symptoms,Dermatitis exfoliative generalised
Musculoskeletal Symptoms,Joint dislocation
Musculoskeletal Symptoms,Upper limb fracture
Procedural and Device-Related Issues,X-ray abnormal
Uncategorized,Tonsillar hypertrophy
Uncategorized,Computerised tomogram thorax
Uncategorized,Aura
Uncategorized,Brain natriuretic peptide
Cardiovascular Findings,Myocardial necrosis marker
Musculoskeletal Symptoms,Nipple pain
Musculoskeletal Symptoms,Nipple swelling
Dermatologic Symptoms,Injection site discolouration
Musculoskeletal Symptoms,Breast pain
Uncategorized,Neutrophil count decreased
Cardiovascular Findings,Blood pressure orthostatic abnormal
Uncategorized,Cheilitis
Neurological Symptoms,Dental paraesthesia
Cardiovascular Findings,Electrocardiogram ambulatory abnormal
Uncategorized,Serum ferritin normal
Laboratory Findings,Thyroid function test normal
Uncategorized,Energy increased
General Symptoms,Neurological examination abnormal
Uncategorized,Bronchial hyperreactivity
Uncategorized,Saliva altered
Respiratory Symptoms,COVID-19 pneumonia
Uncategorized,Lack of spontaneous speech
Uncategorized,Clonic convulsion
Dermatologic Symptoms,Injection site hypersensitivity
Cardiovascular Findings,Blood pressure diastolic increased
Uncategorized,Pharyngeal oedema
Dermatologic Symptoms,Oral mucosal erythema
Uncategorized,Rales
Gastrointestinal Symptoms,Diarrhoea haemorrhagic
Uncategorized,Product label issue
Dermatologic Symptoms,Alopecia
Uncategorized,Thrombosis
Psychiatric Symptoms,Immunisation anxiety related reaction
Uncategorized,Breast milk discolouration
Allergic and Immune Reactions,Immunoglobulin therapy
Laboratory Findings,Blood creatine increased
Laboratory Findings,Chronic kidney disease
Cardiovascular Findings,Electrocardiogram T wave peaked
Uncategorized,Haemodialysis
Uncategorized,Hyperkalaemia
Dermatologic Symptoms,Injection site haematoma
Ophthalmologic Symptoms,Binocular eye movement disorder
General Symptoms,Coordination abnormal
ENT Symptoms,Mucosal discolouration
Uncategorized,Haemoptysis
Procedural and Device-Related Issues,Scan with contrast
Dermatologic Symptoms,Skin erosion
Cardiovascular Findings,Scan myocardial perfusion
Cardiovascular Findings,Ventricular arrhythmia
Psychiatric Symptoms,Stress at work
Dermatologic Symptoms,Skin hyperpigmentation
Dermatologic Symptoms,Viral rash
Uncategorized,Lip haemorrhage
Cardiovascular Findings,Angina unstable
Dermatologic Symptoms,Skin disorder
Infectious Symptoms,Sepsis
Allergic and Immune Reactions,Similar reaction on previous exposure to drug
Cardiovascular Findings,Non-cardiac chest pain
Infectious Symptoms,Herpes virus infection
Uncategorized,Foaming at mouth
Uncategorized,Computerised tomogram abdomen normal
Procedural and Device-Related Issues,Scan with contrast normal
Psychiatric Symptoms,"Hallucination, visual"
Cardiovascular Findings,Catheterisation cardiac abnormal
Uncategorized,Coronary artery occlusion
Uncategorized,Conjunctival hyperaemia
Musculoskeletal Symptoms,Muscle discomfort
Musculoskeletal Symptoms,Palatal swelling
Genitourinary Symptoms,Genital ulceration
ENT Symptoms,Paranasal sinus hypersecretion
Uncategorized,Eosinophil percentage increased
Uncategorized,Stomatitis
Dermatologic Symptoms,Injection site irritation
Uncategorized,Tongue ulceration
Uncategorized,Tension
Uncategorized,Hypertensive emergency
Uncategorized,Dysacusis
Uncategorized,Raynaud's phenomenon
Uncategorized,Ulcer
Uncategorized,Delirium
Uncategorized,Haematemesis
Uncategorized,Melaena
Uncategorized,Serum sickness
Uncategorized,Speech sound disorder
Uncategorized,Computerised tomogram pelvis
Procedural and Device-Related Issues,Contraindication to vaccination
Uncategorized,Bursitis
Laboratory Findings,Blood lactic acid normal
Uncategorized,Gastrointestinal pathogen panel
Uncategorized,Injury
Uncategorized,Therapeutic response unexpected
Musculoskeletal Symptoms,Oral pain
Genitourinary Symptoms,Vaginal ulceration
Uncategorized,Eyelid ptosis
Psychiatric Symptoms,Mental impairment
Infectious Symptoms,Varicella zoster virus infection
Laboratory Findings,Blood insulin increased
Uncategorized,Electromyogram
Laboratory Findings,Streptococcus test positive
Dermatologic Symptoms,Tonsillar erythema
Procedural and Device-Related Issues,X-ray
Dermatologic Symptoms,Nodular rash
Uncategorized,Incisional drainage
Uncategorized,Pustule
Infectious Symptoms,Staphylococcal infection
Dermatologic Symptoms,Tongue dry
Uncategorized,Head injury
Laboratory Findings,Blood calcium
Laboratory Findings,Blood creatinine
Laboratory Findings,Blood electrolytes
Laboratory Findings,Blood urea
Uncategorized,Lymph node palpable
Uncategorized,International normalised ratio
Uncategorized,Secretion discharge
General Symptoms,Abnormal behaviour
Uncategorized,Echocardiogram normal
Gastrointestinal Symptoms,Faeces pale
Uncategorized,Rhinalgia
ENT Symptoms,Rhinitis
Allergic and Immune Reactions,Seasonal allergy
Musculoskeletal Symptoms,Groin pain
Laboratory Findings,C-reactive protein decreased
Uncategorized,Bruxism
Uncategorized,Jaw clicking
Musculoskeletal Symptoms,X-ray limb normal
Uncategorized,Hypertensive crisis
Uncategorized,Illusion
Uncategorized,Nystagmus
Dermatologic Symptoms,Dermatitis
Uncategorized,Eyelid sensory disorder
Musculoskeletal Symptoms,Muscle strain
Psychiatric Symptoms,Agitation
Uncategorized,Oral disorder
Infectious Symptoms,Viral infection
Uncategorized,Choking
Uncategorized,Palindromic rheumatism
Laboratory Findings,Mononucleosis heterophile test negative
Uncategorized,Tonsillar disorder
Laboratory Findings,Urine abnormality
Uncategorized,Hypotonia
Uncategorized,Vein discolouration
Laboratory Findings,Coxsackie virus test positive
Uncategorized,Eating disorder
Uncategorized,Herpangina
Laboratory Findings,Herpes simplex test negative
Laboratory Findings,Viral test
General Symptoms,Abnormal dreams
Psychiatric Symptoms,Depressed mood
Uncategorized,Corrective lens user
Dermatologic Symptoms,Eczema
Laboratory Findings,Occult blood
General Symptoms,Weight decreased
Musculoskeletal Symptoms,Suprapubic pain
Respiratory Symptoms,Respiratory failure
Respiratory Symptoms,Pulmonary congestion
Allergic and Immune Reactions,Reaction to previous exposure to any vaccine
Uncategorized,Suppressed lactation
Uncategorized,Vocal cord disorder
Uncategorized,Acoustic stimulation tests
ENT Symptoms,Ear infection
Uncategorized,Myosclerosis
Uncategorized,Aphthous ulcer
Uncategorized,Lumbar puncture
Uncategorized,Hyperaesthesia teeth
General Symptoms,Ophthalmological examination abnormal
Uncategorized,Vitreous detachment
Uncategorized,Intestinal obstruction
Musculoskeletal Symptoms,Joint lock
Uncategorized,Menstruation normal
Uncategorized,Death
Uncategorized,Hypophagia
Uncategorized,Hypoxia
Uncategorized,Neck mass
Uncategorized,Food poisoning
General Symptoms,Computerised tomogram pancreas abnormal
Uncategorized,Claustrophobia
